"","Genus","Species"
"Otu001",NA,NA
"Otu005",NA,NA
"Otu006",NA,NA
"Otu008","Bacillus","marmarensis/pseudofirmus"
"Otu009",NA,NA
"Otu010","Staphylococcus","argenteus/aureus/capitis/caprae/devriesei/epidermidis/equorum/haemolyticus/hominis/lugdunensis/pasteuri/petrasii/phage/saccharolyticus/schweitzeri/simiae/warneri"
"Otu011",NA,NA
"Otu012",NA,NA
"Otu013",NA,NA
"Otu014","Haemophilus","influenzae/parainfluenzae"
"Otu016","Pseudomonas","aeruginosa/alkylphenolica/argentinensis/benzenivorans/cremoricolorata/cuatrocienegasensis/flavescens/fluorescens/fulva/glareae/hunanensis/mendocina/monteilii/mosselii/oryzihabitans/parafulva/plecoglossicida/punonensis/putida/segetis/seleniipraecipitans/soli/straminea/taiwanensis"
"Otu017",NA,"altitudinis/amyloliquefaciens/anthracis/bingmayongensis/bombysepticus/cereus/coagulans/cytotoxicus/firmus/gaemokensis/licheniformis/manliponensis/megaterium/meqaterium/mycoides/nealsonii/oryzaecorticis/phage/pneumoniae/pseudomycoides/pumilus/salmalaya/samanii/subtilis/thuringiensis/toyonensis/weihenstephanensis/wiedmannii"
"Otu018",NA,NA
"Otu020",NA,NA
"Otu021",NA,NA
"Otu022",NA,NA
"Otu023",NA,NA
"Otu024","Sagittula","stellata"
"Otu025","Acinetobacter","baumannii/bouvetii/haemolyticus/johnsonii/junii/lwoffii/oleivorans/oryzae/schindleri"
"Otu026",NA,NA
"Otu027",NA,NA
"Otu028",NA,NA
"Otu029",NA,NA
"Otu030",NA,NA
"Otu032",NA,NA
"Otu034","Streptococcus","anginosus/cristatus/gordonii/infantis/mitis/oralis/pneumoniae/pseudopneumoniae/sanguinis/timonensis"
"Otu035",NA,NA
"Otu036",NA,NA
"Otu037",NA,NA
"Otu038","Psychrobacter","marincola"
"Otu039",NA,NA
"Otu040",NA,NA
"Otu041",NA,"algicola/aquimaris/beolgyonensis/gallaeciensis/gilvus/guttiformis/litoralis/pseudonitzschiae"
"Otu042",NA,NA
"Otu043","Halomonas","boliviensis/campaniensis/chromatireducens/denitrificans/desiderata/huangheensis/kenyensis/nitrilicus/nitritophilus/pacifica/phoceae/qiaohouensis/saccharevitans/salifodinae/salina/urumqiensis/ventosae"
"Otu044",NA,NA
"Otu045","Alteromonas","alvinellae/australica/gracilis/litorea/macleodii/marina/mediterranea/simiduii/tagae"
"Otu046",NA,NA
"Otu047",NA,NA
"Otu048",NA,NA
"Otu049",NA,NA
"Otu050","Lawsonella","clevelandensis"
"Otu051",NA,NA
"Otu053","Primorskyibacter","insulae"
"Otu054",NA,NA
"Otu055",NA,NA
"Otu056",NA,NA
"Otu057",NA,NA
"Otu058","Shimia","isoporae/marina"
"Otu059",NA,NA
"Otu060","Pseudomonas","formosensis"
"Otu061",NA,NA
"Otu062",NA,NA
"Otu063",NA,NA
