"","Genus","Species"
"Otu064","Loktanella","aestuariicola/cinnabarina/hongkongensis"
"Otu065",NA,NA
"Otu068",NA,NA
"Otu069","Ruegeria","conchae"
"Otu071","Anaerococcus","obesiensis/vaginalis"
"Otu072",NA,NA
"Otu073",NA,NA
"Otu077","Peptoniphilus","asaccharolyticus/grossensis/harei"
"Otu078","Erythrobacter","citreus/flavus/nanhaisediminis/pelagi/piscidermidis"
"Otu080",NA,NA
"Otu081",NA,NA
"Otu082",NA,NA
"Otu083",NA,NA
"Otu084","Virgibacillus","proomii"
"Otu085","Micrococcus","chenggongense/luteus/terreus"
"Otu086",NA,NA
"Otu087",NA,NA
"Otu089",NA,NA
"Otu090",NA,NA
"Otu091","Thalassotalea","ganghwensis"
"Otu092","Vibrio","Parahaemolyticus/alfacsensis/alginolyticus/algoinfesta/antiquarius/atypicus/azureus/brasiliensis/campbellii/caribbeanicus/coralliilyticus/diabolicus/equitatus/europaeus/galatheae/gallicus/harveyi/hepatarius/ichthyoenteri/natriegens/neptunius/owensii/parahaemolyticus/ponticus/rotiferianus/sagamiensis/scophthalmi/sinaloensis/tapetis/tubiashii/variabilis/xuii"
"Otu093",NA,NA
"Otu094","Pseudoalteromonas","aestuariivivens/agarivorans/arabiensis/atlantica/carrageenovora/chazhmella/distincta/donghaensis/elyakovii/espejiana/ganghwensis/gelatinilytica/haloplanktis/hodoensis/issachenkonii/lipolytica/luteoviolacea/mariniglutinosa/nigrifaciens/paragorgicola/porphyrae/profundi/prydzensis/shioyasakiensis/telluritireducens/tetraodonis/undina/whanghaensis/xishaensis"
"Otu095",NA,NA
"Otu097",NA,NA
"Otu098",NA,NA
"Otu101","Clostridium","perfringens/thermophilus"
"Otu102",NA,NA
"Otu103",NA,"halocynthiae/italica"
"Otu104",NA,NA
"Otu105",NA,NA
"Otu106",NA,NA
"Otu107",NA,NA
"Otu108",NA,NA
"Otu109","Halomonas","aestuarii/cupida/daqingensis/denitrificans/koreensis/maura/mongoliensis/nitritophilus/organivorans/salina/ventosae"
"Otu110",NA,NA
"Otu111",NA,NA
"Otu112",NA,NA
"Otu113",NA,NA
"Otu114",NA,NA
"Otu115",NA,NA
"Otu116","Haemophilus","parainfluenzae/pittmaniae"
"Otu117",NA,NA
"Otu118",NA,NA
"Otu119",NA,NA
"Otu120","Lactobacillus","acidophilus/casei/crispatus/gallinarum/helveticus/kitasatonis"
"Otu121",NA,NA
"Otu122","Corynebacterium","aurimucosum/minutissimum"
"Otu123",NA,NA
"Otu124",NA,NA
"Otu125","Rothia","aeria/dentocariosa"
"Otu126",NA,NA
"Otu127",NA,NA
"Otu128",NA,NA
"Otu129",NA,NA
"Otu130","Veillonella","atypica/parvula"
"Otu131",NA,NA
"Otu132",NA,NA
"Otu133","Ruegeria","atlantica/lacuscaerulensis/pomeroyi"
"Otu135","Anaerococcus","prevotii/tetradius"
"Otu136",NA,NA
"Otu139","Cobetia","amphilecti/litoralis/marina/pacifica"
"Otu140",NA,NA
"Otu141","Pelagibius","litoralis"
"Otu142",NA,NA
"Otu143",NA,NA
"Otu144",NA,NA
"Otu145",NA,NA
"Otu146","Curtobacterium","b145/b163/b171/flaccumfaciens/herbarum/oceanosedimentum/pusillum"
"Otu147",NA,NA
"Otu148",NA,NA
"Otu149",NA,NA
"Otu150",NA,NA
"Otu151",NA,NA
"Otu152",NA,NA
"Otu153",NA,NA
"Otu154",NA,NA
"Otu155",NA,NA
"Otu157",NA,NA
"Otu158",NA,NA
"Otu159","Lautropia","mirabilis"
"Otu161",NA,NA
"Otu162",NA,NA
"Otu163",NA,NA
"Otu165",NA,NA
"Otu166",NA,NA
"Otu167",NA,NA
"Otu168",NA,NA
"Otu169",NA,NA
"Otu171",NA,NA
"Otu172",NA,NA
"Otu173",NA,NA
"Otu174","Corynebacterium","coyleae/mucifaciens"
"Otu176","Methylobacterium","brachiatum/fujisawaense/gregans/hispanicum/longum/mesophilicum/oryzae/phyllosphaerae/phyllostachyos/radiotolerans/tardum"
"Otu177",NA,NA
"Otu178",NA,NA
"Otu179",NA,NA
"Otu180",NA,NA
"Otu181",NA,NA
"Otu182",NA,NA
"Otu183",NA,NA
"Otu184",NA,NA
"Otu186",NA,NA
"Otu187",NA,"anthropi/kummerowiae/zoogloeoides"
"Otu188",NA,NA
"Otu189",NA,NA
"Otu190",NA,"albilineans/cristatus/equinus/pneumoniae/salivarius/thermophilus/vestibularis"
"Otu191",NA,NA
"Otu192",NA,NA
"Otu194",NA,NA
"Otu195",NA,NA
"Otu196",NA,NA
"Otu197",NA,NA
"Otu198",NA,NA
"Otu199",NA,NA
"Otu200",NA,NA
"Otu201",NA,NA
"Otu202",NA,NA
"Otu203",NA,NA
"Otu204",NA,NA
"Otu205","Weissella","minor"
"Otu206",NA,NA
"Otu207",NA,NA
"Otu208",NA,NA
"Otu209","Persicobacter","psychrovividus"
"Otu210",NA,NA
"Otu211",NA,NA
"Otu212",NA,NA
"Otu213",NA,NA
"Otu214",NA,NA
"Otu215",NA,NA
"Otu217",NA,NA
"Otu218",NA,NA
"Otu219",NA,NA
"Otu221",NA,NA
"Otu222",NA,"aerogenes/agglomerans/agrestis/amnigena/aphidicola/asburiae/ascorbata/bugandensis/cancerogenus/cloacae/cryocrescens/ferragutiae/granulomatis/hormaechei/intermedia/izardii/kobei/ludwigii/mori/muelleri/nimipressuralis/noackiae/ornithinolytica/oxytoca/persicina/piriflorinigrans/pneumoniae/quasipneumoniae/rhapontici/rodasii/rwandensis/soli/tabaci/turicensis/variicola/warmboldiae/xiangfangensis"
