"","AcerNTCP4a_S290_L001","Apal257_S375_L001","Apal270_S378_L001","Apal288_S373_L001","Apal297_S383_L001","Apal305_S384_L001","Apal307_S381_L001","Apal313_S376_L001","Apal315_S374_L001","Apal350_S382_L001","Apal353_S380_L001","Apal367_S377_L001","Apal380_S379_L001"
"AcerNTCP4a_S290_L001",0,0.31837796042604,0.308744322259152,0.305528209194294,0.315600487984241,0.523456856433549,0.311478000230882,0.290609955168876,0.277902180497557,0.244927755515537,0.30806099962664,0.263267572110468,0.309643589712487
"Apal257_S375_L001",0.31837796042604,0,0.28295028352652,0.277967158378621,0.269488507745749,0.364074744133264,0.278721016409424,0.224351570688805,0.222765550125872,0.275777790484251,0.269300837816432,0.259507092319264,0.277123031669363
"Apal270_S378_L001",0.308744322259152,0.28295028352652,0,0.0252821955166096,0.0178643884102725,0.37204675995076,0.00798707875866854,0.327532591156963,0.292178514941829,0.222722690080816,0.0165067710824857,0.276988336956929,0.00701388854628803
"Apal288_S373_L001",0.305528209194294,0.277967158378621,0.0252821955166096,0,0.0276249871018444,0.372070603641601,0.0249779676216396,0.307840468691887,0.283133145156741,0.220029920485394,0.0219153981581508,0.273480631005906,0.0239529478620799
"Apal297_S383_L001",0.315600487984241,0.269488507745749,0.0178643884102725,0.0276249871018444,0,0.36753830343842,0.010743608504258,0.313339552621735,0.284488874866043,0.22909340809012,0.0185661401378667,0.277860956173826,0.0154906048222266
"Apal305_S384_L001",0.523456856433549,0.364074744133264,0.37204675995076,0.372070603641601,0.36753830343842,0,0.370577672545797,0.468082919762772,0.445587720056651,0.470673880657446,0.369961320532462,0.472812053507412,0.370869808359277
"Apal307_S381_L001",0.311478000230882,0.278721016409424,0.00798707875866854,0.0249779676216396,0.010743608504258,0.370577672545797,0,0.322426096064643,0.28944923654107,0.22529136046357,0.0139041984374054,0.278085502247321,0.00697905781551887
"Apal313_S376_L001",0.290609955168876,0.224351570688805,0.327532591156963,0.307840468691887,0.313339552621735,0.468082919762772,0.322426096064643,0,0.157249839178279,0.226315799382544,0.312837826997697,0.181282186243475,0.322041160848469
"Apal315_S374_L001",0.277902180497557,0.222765550125872,0.292178514941829,0.283133145156741,0.284488874866043,0.445587720056651,0.28944923654107,0.157249839178279,0,0.245473982599656,0.280225435054217,0.173079511448378,0.288058492110605
"Apal350_S382_L001",0.244927755515537,0.275777790484251,0.222722690080816,0.220029920485394,0.22909340809012,0.470673880657446,0.22529136046357,0.226315799382544,0.245473982599656,0,0.216478428013158,0.184842793570353,0.220748820471359
"Apal353_S380_L001",0.30806099962664,0.269300837816432,0.0165067710824857,0.0219153981581508,0.0185661401378667,0.369961320532462,0.0139041984374054,0.312837826997697,0.280225435054217,0.216478428013158,0,0.268036954214242,0.0108726247657676
"Apal367_S377_L001",0.263267572110468,0.259507092319264,0.276988336956929,0.273480631005906,0.277860956173826,0.472812053507412,0.278085502247321,0.181282186243475,0.173079511448378,0.184842793570353,0.268036954214242,0,0.274470659992477
"Apal380_S379_L001",0.309643589712487,0.277123031669363,0.00701388854628803,0.0239529478620799,0.0154906048222266,0.370869808359277,0.00697905781551887,0.322041160848469,0.288058492110605,0.220748820471359,0.0108726247657676,0.274470659992477,0
