"","AcerNTCP4a_S290_L001","Apal257_S375_L001","Apal270_S378_L001","Apal288_S373_L001","Apal297_S383_L001","Apal305_S384_L001","Apal307_S381_L001","Apal313_S376_L001","Apal315_S374_L001","Apal350_S382_L001","Apal353_S380_L001","Apal367_S377_L001","Apal380_S379_L001"
"AcerNTCP4a_S290_L001",0,0.768487430075019,0.873331726534924,0.798802782721242,0.86452450815335,0.847613070084786,0.866014595484344,0.914012531253556,0.919294843983723,0.618646182227834,0.821044514917052,0.8232701675377,0.751791582219948
"Apal257_S375_L001",0.768487430075019,0,0.673588145394615,0.615020127216299,0.682950716031543,0.735257722552648,0.685006140887092,0.731583953507818,0.801884134063188,0.743594810185073,0.646496921232014,0.734330104092457,0.494696257701419
"Apal270_S378_L001",0.873331726534924,0.673588145394615,0,0.702452706952022,0.744634364267565,0.747337987105913,0.754547188937338,0.746007159039067,0.729659229898759,0.854871229572681,0.706795826749581,0.734751911008099,0.663913304615703
"Apal288_S373_L001",0.798802782721242,0.615020127216299,0.702452706952022,0,0.606530236836054,0.775306408790836,0.633815812722087,0.73556124287417,0.751934174646458,0.773096292252089,0.613000546802477,0.733046343726338,0.562521907432525
"Apal297_S383_L001",0.86452450815335,0.682950716031543,0.744634364267565,0.606530236836054,0,0.494555716646679,0.102297421038965,0.85702018705591,0.891153039524284,0.812304762719843,0.761097525206575,0.829917646976786,0.539951920911127
"Apal305_S384_L001",0.847613070084786,0.735257722552648,0.747337987105913,0.775306408790836,0.494555716646679,0,0.501433035740559,0.877857177350794,0.90357966331375,0.785881218689171,0.813121058555426,0.820279995087805,0.545667467735534
"Apal307_S381_L001",0.866014595484344,0.685006140887092,0.754547188937338,0.633815812722087,0.102297421038965,0.501433035740559,0,0.857388839262315,0.89438733689777,0.814597599120805,0.762124969074888,0.830826780846779,0.544266977155538
"Apal313_S376_L001",0.914012531253556,0.731583953507818,0.746007159039067,0.73556124287417,0.85702018705591,0.877857177350794,0.857388839262315,0,0.663670550268023,0.911230847889967,0.664670970576899,0.782343620194803,0.77349633567099
"Apal315_S374_L001",0.919294843983723,0.801884134063188,0.729659229898759,0.751934174646458,0.891153039524284,0.90357966331375,0.89438733689777,0.663670550268023,0,0.923275546832439,0.74991752853591,0.780418972083536,0.830853448659084
"Apal350_S382_L001",0.618646182227834,0.743594810185073,0.854871229572681,0.773096292252089,0.812304762719843,0.785881218689171,0.814597599120805,0.911230847889967,0.923275546832439,0,0.849445952804575,0.806906570945319,0.6607885146328
"Apal353_S380_L001",0.821044514917052,0.646496921232014,0.706795826749581,0.613000546802477,0.761097525206575,0.813121058555426,0.762124969074888,0.664670970576899,0.74991752853591,0.849445952804575,0,0.726246730414648,0.649985217055346
"Apal367_S377_L001",0.8232701675377,0.734330104092457,0.734751911008099,0.733046343726338,0.829917646976786,0.820279995087805,0.830826780846779,0.782343620194803,0.780418972083536,0.806906570945319,0.726246730414648,0,0.727207401810386
"Apal380_S379_L001",0.751791582219948,0.494696257701419,0.663913304615703,0.562521907432525,0.539951920911127,0.545667467735534,0.544266977155538,0.77349633567099,0.830853448659084,0.6607885146328,0.649985217055346,0.727207401810386,0
